control_id,template,line,kind,tag,label_or_expression,element_id,name,type,destination_or_expression,form_action,form_method,handlers,explicit_disabled,review_candidates,functional_status
CONTROL-00001,templates/base.html,1093,button,button,Keep this page open,,,button,,,,{},False,,Not individually executed
CONTROL-00002,templates/base.html,1094,link,a,Open sign in,,,,/login,,,{},False,,Not individually executed
CONTROL-00003,templates/base.html,1110,button,button,Dismiss notification,,,button,,,,"{""@click"": ""show = false""}",False,,Not individually executed
CONTROL-00004,templates/components/analytics_decision_frame.html,11,disclosure,summary,"Data context {{ freshness|default:""Live to current filters"" }}",,,,,,,{},False,,Not individually executed
CONTROL-00005,templates/components/analytics_decision_frame.html,32,link,a,{{ action_label }}→,,,,{{ action_href }},,,{},False,,Not individually executed
CONTROL-00006,templates/components/analytics_provenance.html,3,disclosure,summary,Data details · {{ engine.record_count }} records,,,,,,,{},False,,Not individually executed
CONTROL-00007,templates/components/button.html,25,link,a,{{ label }},,,,{{ href }},,,{},False,,Not individually executed
CONTROL-00008,templates/components/button.html,29,button,button,{{ label }},,{{ name }},{{ type|default:'button' }},,,,{},True,,Not individually executed
CONTROL-00009,templates/components/card.html,44,link,a,{{ action_label }} →,,,,{{ action_href }},,,{},False,,Not individually executed
CONTROL-00010,templates/components/context_metrics.html,27,button,button,{{ item.accessible_description }} {{ formatted_value.exact }}{{ formatted_value.display }} {{ formatted_value.display }} ↗ ↘ {{ item.trend.value }} {{ item.helper }},,,button,{{ item.hx_get }},,,"{""hx-get"": ""{{ item.hx_get }}"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-00011,templates/components/context_metrics.html,29,button,button,{{ item.accessible_description }} {{ formatted_value.exact }}{{ formatted_value.display }} {{ formatted_value.display }} ↗ ↘ {{ item.trend.value }} {{ item.helper }},,,button,/analytics/program-lead/drilldown{{ item.link }}&fy={{ fy }}                &quarter={{ quarter }}           ,,,"{""hx-get"": ""/analytics/program-lead/drilldown{{ item.link }}&fy={{ fy }}                &quarter={{ quarter }}           "", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-00012,templates/components/context_metrics.html,31,link,a,{{ item.accessible_description }} {{ formatted_value.exact }}{{ formatted_value.display }} {{ formatted_value.display }} ↗ ↘ {{ item.trend.value }} {{ item.helper }},,,,/dashboard/pl-drilldown{{ item.link }}&fy={{ fy }},,,"{""hx-get"": ""/dashboard/pl-drilldown{{ item.link }}&fy={{ fy }}"", ""hx-target"": ""#drawer-container"", ""hx-swap"": ""innerHTML""}",False,,Not individually executed
CONTROL-00013,templates/components/context_metrics.html,33,link,a,{{ item.accessible_description }} {{ formatted_value.exact }}{{ formatted_value.display }} {{ formatted_value.display }} ↗ ↘ {{ item.trend.value }} {{ item.helper }},,,,{{ item.drilldown_url }},,,{},False,,Not individually executed
CONTROL-00014,templates/components/context_metrics.html,35,link,a,{{ item.accessible_description }} {{ formatted_value.exact }}{{ formatted_value.display }} {{ formatted_value.display }} ↗ ↘ {{ item.trend.value }} {{ item.helper }},,,,{{ item.link }},,,{},False,,Not individually executed
CONTROL-00015,templates/components/context_metrics.html,60,button,button,Swipe for more →,,,button,,,,{},False,No direct binding; check ancestor/delegated binding,Not individually executed
CONTROL-00016,templates/components/drawers/base_drawer.html,118,button,button,Close drawer,,,button,,,,"{""@click"": ""\nrequestClose()\n""}",False,,Not individually executed
CONTROL-00017,templates/components/drawers/base_drawer.html,150,button,button,Keep editing,,,button,,,,"{""@click"": ""confirmDiscard = false""}",False,,Not individually executed
CONTROL-00018,templates/components/drawers/base_drawer.html,152,button,button,Discard changes,,,button,,,,"{""@click"": ""discard()""}",False,,Not individually executed
CONTROL-00019,templates/components/empty_state.html,28,link,a,{{ cta_label }},,,,{{ cta_href }},,,{},False,,Not individually executed
