page_id,route,route_name,surface_kind,backend_view,roles,templates,previous_test_reference,audit_execution_status
UI-PAGE-9742C80CF8,/,index,page,apps.frontend.views.auth_views.login_view,,pages/auth/login.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-D4F8C108E9,/accounts,finance_dashboard,partial,apps.frontend.views.finance_operating_views.accountant_dashboard_view,ACCOUNTANT | ADMIN,partials/finance/accountant_root.html | partials/finance/accountant_detail.html | pages/accounts/dashboard.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-252D9AB81D,/accounts/,,partial,apps.frontend.views.finance_operating_views.accountant_dashboard_view,ACCOUNTANT | ADMIN,partials/finance/accountant_root.html | partials/finance/accountant_detail.html | pages/accounts/dashboard.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-E2B7D125EC,/accounts/accountability,finance_accountability,page,apps.frontend.views.finance_operating_views.accountability_view,ACCOUNTANT | ADMIN,pages/accounts/accountability.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-F3E2C55053,/accounts/accountability/,,page,apps.frontend.views.finance_operating_views.accountability_view,ACCOUNTANT | ADMIN,pages/accounts/accountability.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-3815BDB66D,/accounts/activities/<str:activity_id>,finance_activity_detail,page,apps.frontend.views.finance_operating_views.activity_finance_detail_view,ACCOUNTANT | ADMIN,pages/accounts/activity_finance_detail.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-9D3EC615DF,/accounts/activities/<str:activity_id>/,,page,apps.frontend.views.finance_operating_views.activity_finance_detail_view,ACCOUNTANT | ADMIN,pages/accounts/activity_finance_detail.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-5839BCA47E,/accounts/activities/<str:activity_id>/disburse,finance_mark_disbursed,action,apps.frontend.views.finance_operating_views.mark_disbursed_action,ACCOUNTANT | ADMIN,,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-10EA99BDF4,/accounts/activities/<str:activity_id>/netsuite-id,finance_netsuite_id,action,apps.frontend.views.finance_operating_views.netsuite_id_action,ACCOUNTANT | ADMIN,,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-93CF5F55E1,/accounts/activity-evidence/<str:activity_id>,accounts_activity_evidence,page,apps.frontend.views.my_plan_views.accounts_activity_evidence_view,ACCOUNTANT | ADMIN,pages/accounts/activity_evidence.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-A0ACEFE4E8,/accounts/advances,finance_ready_for_advance,page,apps.frontend.views.finance_operating_views.ready_for_advance_view,ACCOUNTANT | ADMIN,pages/accounts/ready_for_advance.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-105BE7A5EB,/accounts/advances/,,page,apps.frontend.views.finance_operating_views.ready_for_advance_view,ACCOUNTANT | ADMIN,pages/accounts/ready_for_advance.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-3FBFC62185,/accounts/approval-history,finance_approval_history,page,apps.frontend.views.finance_operating_views.approval_history_view,ACCOUNTANT | ADMIN,pages/accounts/approval_history.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-4F40C80BF1,/accounts/approval-history/,,page,apps.frontend.views.finance_operating_views.approval_history_view,ACCOUNTANT | ADMIN,pages/accounts/approval_history.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-792F8865C6,/accounts/audit-log,finance_audit_log,page,apps.frontend.views.finance_operating_views.audit_log_view,ACCOUNTANT | ADMIN,pages/accounts/audit_log.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-905CBE9E1A,/accounts/audit-log/,,page,apps.frontend.views.finance_operating_views.audit_log_view,ACCOUNTANT | ADMIN,pages/accounts/audit_log.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
UI-PAGE-67963EAD83,/accounts/batch-payments,finance_batch_payments,page,apps.frontend.views.finance_operating_views.batch_payments_view,ACCOUNTANT | ADMIN,pages/accounts/batch_payments.html,referenced-by-automated-test,Inventory only; no per-route execution claim. Consult test and browser evidence.
