mock_file,domain,guard_status,importers_total,unguarded_page_leaks,guarded_pages,components,wiring_target
lib/intake/intake-mock.ts,intake,UNGUARDED_PAGE_LEAK,36,2,3,31,no live surface yet
lib/special-projects-mock.ts,special-projects,UNGUARDED_PAGE_LEAK,22,1,5,16,live surface exists
lib/schools-mock.ts,schools,UNGUARDED_PAGE_LEAK,19,2,3,14,live surface exists
lib/workflow-mock.ts,workflow,UNGUARDED_PAGE_LEAK,8,1,2,5,live surface exists
lib/intake/duplicate-candidates-mock.ts,intake,UNGUARDED_PAGE_LEAK,7,1,3,3,no live surface yet
lib/help-mock.ts,help,UNGUARDED_PAGE_LEAK,2,2,0,0,no live surface yet
lib/cceo-mock.ts,cceo,guarded_pages_+_components,20,0,1,19,no live surface yet
lib/field-intelligence-mock.ts,field-intelligence,guarded_pages_+_components,19,0,9,10,no live surface yet
lib/cpl-mock.ts,cpl,components_only,18,0,0,18,no live surface yet
lib/team-targets-mock.ts,team-targets,guarded_pages_+_components,18,0,3,15,no live surface yet
lib/funds/weekly-fund-mock.ts,funds,components_only,17,0,0,17,no live surface yet
lib/cost-settings-mock.ts,cost-settings,guarded_pages_+_components,15,0,8,7,live surface exists
lib/mobile-mock.ts,mobile,guarded_pages_+_components,15,0,1,14,no live surface yet
lib/accountant-console-mock.ts,accountant-console,components_only,13,0,0,13,no live surface yet
lib/impact-mock.ts,impact,guarded_pages_+_components,13,0,2,11,live surface exists
lib/data-intake-mock.ts,data-intake,guarded_pages_+_components,12,0,8,4,no live surface yet
lib/leave-mock.ts,leave,guarded_pages_+_components,12,0,1,11,live surface exists
lib/director-mock.ts,director,components_only,11,0,0,11,live surface exists
lib/my-targets-billion-mock.ts,my-targets-billion,components_only,10,0,0,10,no live surface yet
lib/partner/partner-dashboard-mock.ts,partner,guarded_pages_+_components,10,0,1,9,live surface exists
lib/planning/planning-gaps-mock.ts,planning,components_only,10,0,0,10,live surface exists
lib/fund-approvals-mock.ts,fund-approvals,components_only,9,0,0,9,no live surface yet
lib/team-targets-billion-mock.ts,team-targets-billion,components_only,9,0,0,9,no live surface yet
lib/planning/ssa-performance-mock.ts,planning,components_only,8,0,0,8,live surface exists
lib/partner/partner-evidence-mock.ts,partner,guarded_pages_+_components,7,0,1,6,live surface exists
lib/country-fund-approvals-mock.ts,country-fund-approvals,components_only,6,0,0,6,no live surface yet
lib/monthly-approval-mock.ts,monthly-approval,guarded_pages_+_components,6,0,5,1,no live surface yet
lib/partner/partner-mock.ts,partner,components_only,5,0,0,5,live surface exists
lib/rvp-fund-approvals-mock.ts,rvp-fund-approvals,components_only,5,0,0,5,no live surface yet
lib/messages-v2/mock.ts,messages-v2,guarded_pages_+_components,3,0,1,2,no live surface yet
lib/partner/partner-payment-requests-mock.ts,partner,components_only,3,0,0,3,live surface exists
lib/partner/partner-today-mock.ts,partner,components_only,3,0,0,3,live surface exists
lib/planning/core-school-plan-mock.ts,planning,components_only,3,0,0,3,live surface exists
lib/planning/school-activity-mock.ts,planning,components_only,3,0,0,3,live surface exists
lib/refresh-and-followup-mock.ts,refresh-and-followup,components_only,3,0,0,3,no live surface yet
lib/today-mock.ts,today,guarded_pages_+_components,3,0,2,1,live surface exists
lib/analytics/sources/salesforce-verification-mock.ts,analytics,components_only,2,0,0,2,live surface exists
lib/coverage-mock.ts,coverage,components_only,2,0,0,2,live surface exists
lib/funds/monthly-fund-request-mock.ts,funds,guarded_pages_+_components,2,0,1,1,no live surface yet
lib/operating-targets-mock.ts,operating-targets,guarded_pages_+_components,2,0,1,1,no live surface yet
lib/planning-mock.ts,planning,components_only,2,0,0,2,live surface exists
lib/training-mock.ts,training,guarded_pages_+_components,2,0,1,1,no live surface yet
lib/analytics/sources/exam-performance-mock.ts,analytics,components_only,1,0,0,1,live surface exists
lib/analytics/sources/msc-mock.ts,analytics,components_only,1,0,0,1,live surface exists
lib/analytics/sources/school-enrollment-history-mock.ts,analytics,components_only,1,0,0,1,live surface exists
lib/analytics/sources/self-verification-mock.ts,analytics,components_only,1,0,0,1,live surface exists
lib/analytics/sources/training-participant-mock.ts,analytics,components_only,1,0,0,1,live surface exists
lib/budget-mock.ts,budget,components_only,1,0,0,1,live surface exists
lib/dashboard-hero-mock.ts,dashboard-hero,components_only,1,0,0,1,no live surface yet
lib/decisions/decisions-mock.ts,decisions,guarded_pages_only,1,0,1,0,no live surface yet
lib/intake/data-quality-mock.ts,intake,guarded_pages_only,1,0,1,0,no live surface yet
lib/intake/intake-records-mock.ts,intake,components_only,1,0,0,1,no live surface yet
lib/performance/fwi-mock.ts,performance,guarded_pages_only,1,0,1,0,live surface exists
lib/planning/cluster-activity-mock.ts,planning,components_only,1,0,0,1,live surface exists
lib/ssa-comparison-mock.ts,ssa-comparison,components_only,1,0,0,1,no live surface yet
lib/ssa-mock.ts,ssa,components_only,1,0,0,1,live surface exists
lib/verification/portfolio-verification-mock.ts,verification,components_only,1,0,0,1,live surface exists
lib/leaderboard-mock.ts,leaderboard,unused,0,0,0,0,no live surface yet
lib/notifications-mock.ts,notifications,unused,0,0,0,0,live surface exists
lib/partner/partner-monitoring-mock.ts,partner,unused,0,0,0,0,live surface exists
lib/reports-mock.ts,reports,unused,0,0,0,0,live surface exists
