Sub_County,District,Region
Buikwe,Buikwe,Central Region
Buikwe Town Council,Buikwe,Central Region
Central Division,Buikwe,Central Region
KCCA,Buikwe,Central Region
Kawolo Division,Buikwe,Central Region
Lugazi Municipality,Buikwe,Central Region
Najja,Buikwe,Central Region
Najjembe Division,Buikwe,Central Region
Ngogwe,Buikwe,Central Region
Njeru Division,Buikwe,Central Region
Njeru Municipality,Buikwe,Central Region
Nkokonjeru Town Council,Buikwe,Central Region
Nyenga Division,Buikwe,Central Region
Ssi-Bukunja,Buikwe,Central Region
Wakisi Division,Buikwe,Central Region
Bigasa,Bukomansimbi,Central Region
Bukomansimbi,Bukomansimbi,Central Region
Bukomansimbi Town Council,Bukomansimbi,Central Region
Butenga,Bukomansimbi,Central Region
Kibinge,Bukomansimbi,Central Region
Kitanda,Bukomansimbi,Central Region
Budde,Butambala,Central Region
Bulo,Butambala,Central Region
Butambala,Butambala,Central Region
Gombe Town Council,Butambala,Central Region
Kalamba,Butambala,Central Region
Kibibi,Butambala,Central Region
Ngando,Butambala,Central Region
Bugaya,Buvuma,Central Region
Busamuzi,Buvuma,Central Region
Buvuma Island,Buvuma,Central Region
Buvuma Town Council,Buvuma,Central Region
Buwooya,Buvuma,Central Region
Bweema,Buvuma,Central Region
Lubya,Buvuma,Central Region
Lwajje,Buvuma,Central Region
Lyabaana,Buvuma,Central Region
Nairambi,Buvuma,Central Region
Gomba,Gomba,Central Region
Kabulasoke,Gomba,Central Region
Kanoni Town Council,Gomba,Central Region
Kyegonza,Gomba,Central Region
Maddu,Gomba,Central Region
Mpenja,Gomba,Central Region
Bubeke,Kalangala,Central Region
Bufumira,Kalangala,Central Region
Bujumba,Kalangala,Central Region
Kalangala Town Council,Kalangala,Central Region
Kyamuswa,Kalangala,Central Region
Mazinga,Kalangala,Central Region
Mugoye,Kalangala,Central Region
Bukulula,Kalungu,Central Region
Kalungu,Kalungu,Central Region
Kalungu Town Council,Kalungu,Central Region
Kyamulibwa,Kalungu,Central Region
Kyamulibwa Town Council,Kalungu,Central Region
Lukaya Town Council,Kalungu,Central Region
Lwabenge,Kalungu,Central Region
Central Division,Kampala,Central Region
KCCA,Kampala,Central Region
Kawempe Division,Kampala,Central Region
Makindye Division,Kampala,Central Region
Nakawa Division,Kampala,Central Region
Rubaga Division,Kampala,Central Region
Bukuya,Kassanda,Central Region
Kalwana,Kassanda,Central Region
Kassanda,Kassanda,Central Region
Kassanda Town Council,Kassanda,Central Region
Kiganda,Kassanda,Central Region
Kitumbi,Kassanda,Central Region
Makokoto,Kassanda,Central Region
Manyogaseka,Kassanda,Central Region
Myanzi,Kassanda,Central Region
Nalutuntu,Kassanda,Central Region
Bbaale,Kayunga,Central Region
Busaana,Kayunga,Central Region
Galiraya,Kayunga,Central Region
Kangulumira,Kayunga,Central Region
Kayonza,Kayunga,Central Region
Kayunga,Kayunga,Central Region
Kayunga Town Council,Kayunga,Central Region
Kitimbwa,Kayunga,Central Region
Nazigo,Kayunga,Central Region
Ntenjeru,Kayunga,Central Region
Bukomero,Kiboga,Central Region
Bukomero Town Council,Kiboga,Central Region
Ddwaniro,Kiboga,Central Region
Kapeke,Kiboga,Central Region
Kibiga,Kiboga,Central Region
Kiboga,Kiboga,Central Region
Kiboga Town Council,Kiboga,Central Region
Lwamata,Kiboga,Central Region
Lwamata Town Council,Kiboga,Central Region
Muwanga,Kiboga,Central Region
Bananywa,Kyankwanzi,Central Region
Banda,Kyankwanzi,Central Region
Butemba,Kyankwanzi,Central Region
Butemba Town Council,Kyankwanzi,Central Region
Byerima,Kyankwanzi,Central Region
Gayaza,Kyankwanzi,Central Region
Kiboga,Kyankwanzi,Central Region
Kyankwanzi,Kyankwanzi,Central Region
Kyankwanzi Town Council,Kyankwanzi,Central Region
Mulagi,Kyankwanzi,Central Region
Nkandwa,Kyankwanzi,Central Region
Nsambya,Kyankwanzi,Central Region
Ntwetwe,Kyankwanzi,Central Region
Ntwetwe Town Council,Kyankwanzi,Central Region
Wattuba,Kyankwanzi,Central Region
Kabira,Kyotera,Central Region
Kakuuto,Kyotera,Central Region
Kalisizo,Kyotera,Central Region
Kalisizo Town Council,Kyotera,Central Region
Kasaali Town Council,Kyotera,Central Region
Kasasa,Kyotera,Central Region
Kirumba,Kyotera,Central Region
Kyebe,Kyotera,Central Region
Kyotera,Kyotera,Central Region
Kyotera Town Council,Kyotera,Central Region
